Item ID,Item Description,lead time,travel time,cover time,growth,cant travel period,cant produce period
ACE00150,Hazan Vinegar .5l / 6,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00160,Sirk Vinegar Spray 100ml/24,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00161,Sirk Vinegar Bottle 250ml/12,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00200,Demetria Bals EXTRA EXTRA Gold,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00201,Bals Gold Ca dal Non .1l / 1,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00202,Bals Ivory Ca dal Non .1l /1,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00203,Vittorio Bals EXTRA EXTRA Gold,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00204,Bals Saba Ca dal Non .2l/12,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00205,Bals Saba Ca dal Non .5l/6,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00302,San Gia Bals Vinegar Silver.1l,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00303,San Gia Balsamic Golden.1l,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00304,San Gia Balsamic Red.1l,2 w,1 m ,4 m ,1.2,always travel ,august
ACE00601,San Gia Balsamic Condiment.25l,2 w,1 m ,4 m ,1.2,always travel ,august
CAF01001,S'E - FILTRO 250g / 16,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CAF01002,S'E - Espresso 250g / 16,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CAF01003,S'E- Bean 250g / 16,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CAF01004,S'E DECAF Ground 250g/16,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CAF01005,S'E Moka 250g / 16,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CAF01100,ChocCoveredCoffeeBeans.250g/20,1 m,1m,4 m ,1.2,July and August,August 1-Sept. 15
CER00020,Orzo 500g/20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00021,Farro Perlato  500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00022,Fagioli Purgatorio 500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00023,Chickpeas 500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00024,Lentils Valletta 500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00025,Cicerchia Valletta 500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
CER00026,Borlotti Beans 500g / 20,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
COM00103,Grated Mullet Roe 70g/24,2 w,1 m ,4 m ,1.2,June 1-August 31 ,august
COM00105,Mullet Roe Whole 100g / 1,2 w,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01704,Fior di Sale 1kg/5,3 w ,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01705,Salt - 1 Kg(Coarse) / 12,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01706,Salt - 1kg (Fino) / 12,1 m,1 m ,4 m ,1.2,June 1-August 31 ,august
